logFC;AveExpr;t;P.Value;adj.P.Val;B
PPARGC1A;-1.0171254649698;1.30834155992413;-3.07335116101742;0.00323549865717772;0.361402937420277;-1.8552079317835
LIF;1.31156565352829;6.8153437280531;3.16804002406421;0.00245923012381858;0.303654562384666;-1.85948806931351
PLSCR1;0.856992054578045;6.65153925677603;3.13795436445278;0.00268458613420619;0.312999228625368;-1.8885175593502
POU2F2;0.742122590035383;2.50797531919596;3.093850424152;0.00305016478591092;0.34553391578266;-1.89654468644356
KIAA0319;1.91335344024078;1.94203329117006;3.05501108597035;0.00341018396357731;0.373284718662905;-1.90610858898734
STAT5A;1.1534159263132;3.21324826498586;3.03747462138563;0.00358542003109196;0.384361839977395;-1.91568716743559
SNORA51;2.09053779716552;-1.33058231217961;3.02205312428014;0.00374643162400889;0.393695739015092;-1.92097288638215
TSEN15;-0.64653934579525;4.76464279843276;-3.06969295160269;0.00326966007476972;0.362682502599283;-1.92547177152667
RHOF;0.772258978522853;4.03620115435007;3.11851741629627;0.0028403245435954;0.324060742391781;-1.93874061794688
TPH1;-2.89260991220592;-2.68296929102101;-3.02388826671262;0.00372692386017352;0.393695739015092;-1.96080490327241
C11orf94;2.27655028299032;-1.85590184267862;3.01048694327766;0.00387158942578031;0.404164986267697;-1.99108911935505
CERKL;-1.91640926241612;-0.964434173906702;-3.03159650035477;0.00364601475868974;0.388251958270342;-2.02083982735401
CAPN9;-2.28768682808514;-3.34418145652227;-2.98513561695667;0.00415967114050014;0.416365136172803;-2.03246074963614
CBX3P2;-2.39417904056266;-1.3950942432207;-2.9916569578623;0.00408371648327471;0.412843059413588;-2.04927674550444
L3MBTL4;2.03822024886444;-1.78806149834356;2.9600701354308;0.00446402024585294;0.437446597466312;-2.05825546466861
SENP3-EIF4A1;2.53962744110327;-2.20308788200918;2.99288045911403;0.00406961093185937;0.412843059413588;-2.0585031389602
LINC00672;-1.10743034992188;0.928186804995761;-2.94782446881158;0.00462012315546568;0.444124946456154;-2.0708466716623
TYMP;1.02596952048118;5.18695566389807;3.05431140098179;0.0034170196713874;0.373284718662905;-2.08550598611441
EHD1;0.641002129417961;7.07603123937409;3.08332942774077;0.0031440075945616;0.353656572591073;-2.0884643311482
DTD2;-0.583561695326847;3.92051784965889;-3.00821174992962;0.00389666361267297;0.404164986267697;-2.11724971309702
AGBL3;1.80912280861634;0.36131994426595;2.94698670836888;0.0046309858556337;0.444124946456154;-2.12053256478736
TNIP3;3.11405702919939;-0.93311075212414;2.93342110591947;0.00481021822681492;0.444124946456154;-2.15041901901231
SAA4;2.13571317418117;-3.02242541013281;2.93862707418836;0.00474068718805309;0.444124946456154;-2.15083131029502
BST2;1.36250258442237;1.67729282586085;2.92112460428056;0.00497822725232931;0.454384136579749;-2.18277886086931
C6orf99;-2.19699413885756;-0.767244041349692;-2.94297047437598;0.00468339212361308;0.444124946456154;-2.18993311567356
CACNA1G;-2.26166597878294;1.18423544299712;-2.93599048076589;0.00477578409320746;0.444124946456154;-2.20183425253083
CWH43;1.14069343389269;-1.66062196160933;2.90216877143389;0.00524791954347236;0.468296194792648;-2.21799895041816
EPSTI1;1.11091633615295;1.00018281193922;2.92535398896254;0.00491983557053457;0.451635250391659;-2.24242747817306
IER3;0.954292526995122;8.23079878620292;3.05244153920761;0.00343535050669549;0.373284718662905;-2.24356175559271
