logFC;AveExpr;t;P.Value;adj.P.Val;B
CCL20;8.64382061388774;4.43361667954313;6.27313384255589;4.98424873166944e-08;4.39853066248375e-06;8.29323084213501
DARS2;-1.22247618486455;5.65287065468477;-6.27731347910506;4.90550766030882e-08;4.35309299211738e-06;8.25788285390464
JUN;1.48820950858426;7.68824267767712;6.32724587074283;4.05522230910364e-08;3.63899246872542e-06;8.21692654571875
ZNF329;1.73217931137406;3.10823081054714;6.22249299836793;6.0441942635427e-08;5.13531462614721e-06;8.12435406408646
FOXD3;2.58753400887558;-0.647072362655144;6.2233863814698;6.02368150377522e-08;5.13531462614721e-06;8.12406530215275
NFKB1;1.82986938252602;6.22685210955562;6.23594876996727;5.74245940992971e-08;4.95807049485445e-06;8.04388377107671
INO80D;2.13040312974508;4.38064344224319;6.23120180294494;5.84715776832589e-08;5.02132532438008e-06;8.04276414231361
DHCR7;-1.37688075162087;7.14056565969697;-6.24695548449112;5.50681030950749e-08;4.78045005835669e-06;8.01321128218955
HIST2H2BF;3.96739827351604;-0.237096724228498;6.18593463783206;6.94588411661902e-08;5.7188972677709e-06;7.9949751357824
JUP;-1.29754679094549;8.78828923657065;-6.25370493551464;5.36708743536354e-08;4.68461680901977e-06;7.97473019738941
REL;2.98045673871384;2.94592436930017;6.16858396276824;7.41940583780764e-08;6.04643721669906e-06;7.91503678380356
TNF;6.33261670998424;0.938317469687114;6.19329304005664;6.75424628165815e-08;5.64845946894899e-06;7.86912160422582
NFKBIE;3.13170898033935;4.61869150403847;6.1716674475257;7.3329713884861e-08;6.0066436917071e-06;7.85795778660517
FAM126B;1.66107216277525;4.1819898185578;6.18835473036451;6.88226792735859e-08;5.69587904682377e-06;7.8448015119133
CAPZB;-1.17570211720369;7.68739827114065;-6.2093265480817;6.35468047661436e-08;5.37054556893974e-06;7.84110265680025
GLG1;-0.949497457220334;7.53071125099183;-6.20228232966;6.52724956346013e-08;5.48735564616571e-06;7.81692800066132
TRIM45;-2.47886868828739;2.01813668355488;-6.139533921012;8.28504617101874e-08;6.65010263767248e-06;7.8054381700914
FGG;2.16126601752085;1.27143603215378;6.19071614626858;6.82075216734613e-08;5.67436845671978e-06;7.77980365013478
USPL1;1.6244444034978;4.8227214878955;6.16286879608028;7.58229476286312e-08;6.14781696686358e-06;7.75318519756222
YAF2;1.57265932409577;3.82437704762695;6.13479002185488;8.4356356397352e-08;6.70801303383126e-06;7.71446977569022
ZNF557;1.60001318863491;2.92313506486197;6.10844985306309;9.32257379024008e-08;7.37175599759925e-06;7.70545146811985
HMGN2;1.74120624150053;6.10400234264211;6.1346167883001;8.44118587491444e-08;6.70801303383126e-06;7.68030018884959
TCN2;-2.30841643544617;3.14683077520566;-6.09518465071576;9.80369784242613e-08;7.57738705193762e-06;7.66455501297443
CPA4;-3.18359157977968;2.84996874995156;-6.0943513084214;9.83473274492332e-08;7.57738705193762e-06;7.66386295968149
SNORA63;3.37339927976864;0.185040076602116;6.09429196291462;9.83694657600569e-08;7.57738705193762e-06;7.65637678029239
CLUHP3;2.60177069654342;2.30246417925983;6.09143891518866;9.94396259821416e-08;7.59975667852989e-06;7.64375669980088
RAB27A;1.55401099042571;3.96186038335967;6.08359227497713;1.02442822044741e-07;7.79199617390782e-06;7.61208805349397
PIM1;1.03050035317919;5.72075815752491;6.09539784202197;9.79577391229647e-08;7.57738705193762e-06;7.51583728863126
MED9;1.04642768482269;4.2043705447242;6.07432362637046;1.06106440301689e-07;8.03240839307523e-06;7.43953961200181
ACTN4;-1.07367108086172;10.2844372698998;-6.14617324378853;8.07876145944303e-08;6.51727559553957e-06;7.43244607854953
H1F0;1.26709722103221;7.47646450989925;6.1009058938095;9.59323947556516e-08;7.54841448981292e-06;7.4032688894538
LINC00115;3.11380901031692;-0.0112356885651189;6.01873340420486;1.30973252130102e-07;9.6317700592541e-06;7.38791198861728
RASD1;2.99446158221782;0.885250073534852;6.01856734755168;1.31055586215437e-07;9.6317700592541e-06;7.3785716168069
KIAA1586;1.87321922612238;2.8917542655488;6.02513371762431;1.27838661370511e-07;9.53992209537328e-06;7.36070030679564
RBM39;0.939687596583695;7.98678977981919;6.09348084717522;9.86725415891207e-08;7.57738705193762e-06;7.33472353612262
SERPINH1;-1.22576622917662;7.53704102750922;-6.05464789632284;1.1432028359473e-07;8.61338627291806e-06;7.25146695449798
ARID4B;1.95410066084794;6.01956952883532;6.05151404768435;1.15685567475218e-07;8.6753313111815e-06;7.23461024301089
THAP1;1.6403150805607;3.87913232311438;6.00460252378022;1.38166541075687e-07;1.00773249342555e-05;7.23362257699262
BRPF1;1.22237275103963;5.00158993811776;6.02395686331732;1.28409394008969e-07;9.53992209537328e-06;7.20130537350584
FUCA2;-0.932820464193586;6.05152328635874;-6.00111289062279;1.40002450119573e-07;1.01648142534543e-05;7.15039714433461
SLC30A1;1.47847444466075;4.44394519503224;6.01776385977843;1.31454696858285e-07;9.6317700592541e-06;7.1283736509427
CST2;-3.34331367730666;-2.35361669294421;-5.94265633588918;1.7461290965741e-07;1.23411150706098e-05;7.10348800573454
SLC45A4;1.42648488192941;4.04858784633279;5.97258866807366;1.55945281386529e-07;1.1220333241383e-05;7.10094741173826
MYO1C;-0.951328435523044;8.13533300426029;-5.99022010599266;1.45890276606306e-07;1.05443682725454e-05;6.99937727765974
ERGIC1;-0.965874150214623;8.01129249416955;-5.97099458442497;1.56887557201338e-07;1.1237510991825e-05;6.93920770686104
SERTAD3;1.23751602964969;5.65181113415353;5.95365068088857;1.67511823365724e-07;1.19449390831282e-05;6.89464333883884
ZNF639;1.61692734611666;4.28288940598689;5.89913432087752;2.05773936008165e-07;1.44159082449931e-05;6.86313092636965
ABHD4;-0.954671084085086;6.08867211491522;-5.95132296292875;1.68990963356041e-07;1.19968562563824e-05;6.84804663178753
CCNT1;1.62077800033673;5.68239729594636;5.92909274883857;1.83785862379155e-07;1.29322096025649e-05;6.80751305447303
HSD17B7P2;1.61939738607751;1.86366195096213;5.85512461435827;2.42883876515365e-07;1.64389159304234e-05;6.78859738743302
MIR3685;4.77891189406874;-2.02030492652233;5.87277561976658;2.27264275189064e-07;1.55797951398924e-05;6.76326448057389
SLC7A2;1.58922846015243;3.42307279109648;5.89290226125839;2.10665640508922e-07;1.45874297613035e-05;6.74310210693769
